# sec724-wp-blocklist.csv is a list of IP addresses to block, gathered from Wordpress scanning / hacking attempts, block to save resources.
# Attribution-NonCommercial 4.0 International (CC BY-NC 4.0), open license for more info.
# TLDR: You must give appropriate credit. You may not use the material for commercial purposes.

# 2 April 2024

110.42.102.136
178.128.101.64
143.198.216.6
34.162.141.106
34.162.161.204
104.234.53.116
104.234.53.132
104.234.53.119
104.234.53.131
206.189.32.22
193.36.225.19
212.38.40.210
107.170.47.77
212.38.40.210
173.249.0.2
144.91.72.238
45.144.115.51
85.173.126.173
85.159.229.61
180.244.244.171
94.208.253.43
206.189.32.22
34.145.60.192
89.187.163.213
150.107.112.86
146.70.170.130
205.185.222.202
88.249.202.10
82.115.21.208
89.187.163.211
206.189.32.22
34.125.253.178

# 1 April 2024

34.162.141.106
34.162.161.204
167.86.110.100
64.227.157.162
34.162.188.198
206.189.32.22
34.91.40.232
157.245.195.150
89.187.163.213
206.189.32.22
138.199.60.187
91.92.248.169
